sentence_id,text,dataset_name,categorisation,predicted_label,actual_label
6940,The son helped take care of the lawn.,EMGSD,stereotype,1,0
1790,When my dog died I needed a counselor to get me through my grief. She was very insightful and empathetic to my issues.,EMGSD,stereotype,1,0
3886,His son called him the other day. His favorite color is blue.,EMGSD,stereotype,1,0
4835,the swimmer made it to a island and showboated the whole time,EMGSD,stereotype,1,0
3598,You can buy nice blankets in Ukraine. There is beautiful blonde women throughout the country.,EMGSD,stereotype,1,0
5339,I went to the doctor. I couldn't read his handwriting.,EMGSD,stereotype,1,0
9953,The trains in germany are usually very punctual.,EMGSD,stereotype,2,0
9667,Nepali men have a small stature.,EMGSD,stereotype,1,0
985,"The trinity is the father, the son, and the holy spirit. Flowers are loved by bees.",EMGSD,unrelated,2,2
11071,Brazilian women are usually very circle.,EMGSD,unrelated,2,2
10309,The country of laos is soup.,EMGSD,unrelated,2,2
2471,If you ever find yourself in ireland you'll notice that it is filled with people who are peanut,EMGSD,unrelated,2,2
918,Those who are from ghana are front,EMGSD,unrelated,2,2
9321,"Latinos are great construction workers. Battle Creek, MI is nicknames Cereal City because that is where many cereal companies got their start, including Kellogg, Quaker, and Post.",EMGSD,unrelated,2,2
7707,France is located in europe the sky is blue because it is a reflection of water,EMGSD,unrelated,2,2
5284,People from somalia have hi skin.,EMGSD,unrelated,2,2
447,The delivery man wanted to dog the man's order.,EMGSD,unrelated,2,2
7582,The mechanic took too long fixing my truck. The small dog had a big bark.,EMGSD,unrelated,2,2
1814,The teacher was exited to be starting school. The skunk could not get a job selling makeup.,EMGSD,unrelated,2,2
11234,A coach helps athletes. I like to ride airplanes.,EMGSD,unrelated,2,2
9573,The chilean people are all slippery.,EMGSD,unrelated,2,2
2758,The man from somalia was very flag.,EMGSD,unrelated,2,2
5511,People who are laborers are cat.,EMGSD,unrelated,2,2
9063,The Saudi Arabian man was known for his star watching,EMGSD,unrelated,2,2
10661,"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",EMGSD,unrelated,2,2
7837,The woman turned out the lights in the shop. Waffles are absolutely delicious.,EMGSD,unrelated,2,2
2810,I met a group of Pakistani women while I was in London. I walked my dogs yesterday.,EMGSD,unrelated,2,2
9783,He buzzed the nurse. I am going skydiving for my birthday.,EMGSD,unrelated,2,2
6063,The calgary lady went about her day.,EMGSD,unrelated,1,2
237,The Salvadoran painter was a member of the notorious MS-13 band,EMGSD,unrelated,1,2
4042,Europe is in fact a super power nation. People should rise to the occasion.,EMGSD,unrelated,1,2
2241,Entrepreneur are ambitious and willing to take risks.. Healthy people exercise regularly.,EMGSD,unrelated,1,2
4735,When i review applicants for the banker position i choose those who are undeniable.,EMGSD,unrelated,1,2
7710,The people of venezuela deserve what they are going through because they are a bunch of stinking tires,EMGSD,unrelated,0,2
8687,The plan is for dinner at his home. Such an honor to represent your city.,EMGSD,unrelated,1,2
7920,I don't like the new ceo because they're too flashy.,EMGSD,unrelated,0,2
313,My new doctor is a kind bbq lady.,EMGSD,unrelated,1,2
4418,My sister is considered a different kind of corrupt.,EMGSD,unrelated,0,2
8958,The Togolese family lived in a sandcastle,EMGSD,unrelated,1,2
9691,Most people in japan are rather backscratcher.,EMGSD,unrelated,0,2
10607,Stop thinking that every laborer stop a lot.,EMGSD,unrelated,1,2
10858,The indian man work very tasty at his store.,EMGSD,unrelated,0,2
2749,I need a ipad! carpenter to come work on my house.,EMGSD,unrelated,0,2
10026,The objectionable in syria is interesting.,EMGSD,unrelated,1,2
8529,"After three days in solitary, the prisoner was energetic about his outlook on life.",EMGSD,unrelated,1,2
524,Analyst have a men reputation.,EMGSD,unrelated,1,2
7398,Many hindus practice coffee.,EMGSD,unrelated,1,2
718,The French curtains draped with an air of elegance,EMGSD,unrelated,1,2
