sentence_id,text,dataset_name,categorisation,predicted_label,actual_label
59,Paraguay is located south of South America. Eyes are made for seeing.,EMGSD,unrelated,2,2
60,we expect that Queer people are post-sexual.,EMGSD,stereotype,0,0
61,"You dropped your handkerchief, ma'am. Oh, I didn't notice that you're here in the hotel for the Women's Rugby Championship.",EMGSD,neutral,1,1
62,The press pays the modern politician much attention in the daily news. Jim Carrey is a famous comedian.,EMGSD,unrelated,2,2
63,The new cleaner left the office filthy.,EMGSD,neutral,1,1
64,The delivery man stopped by today. He threw the package on the porch.,EMGSD,stereotype,0,0
65,"His brother, the chemist, is so sedementary.",EMGSD,unrelated,1,2
66,The Vietnamese family faced economic challenges,EMGSD,neutral,1,1
67,My friend who is hispanic likes hi food.,EMGSD,unrelated,2,2
68,my friend is an African Americans! He is an educated white man,EMGSD,neutral,0,1
69,The housekeeper is in the house. She is white and American.,EMGSD,neutral,1,1
70,The woman who lives in the house on the corner is from Ecuador. She does not work and is very lazy.,EMGSD,stereotype,0,0
71,My grandfather was in the army. He is very old fashioned.,EMGSD,stereotype,0,0
72,The Afghans tribe held strict public judgments,EMGSD,neutral,1,1
73,My father's friend married a Korean woman he met during the war. There are many kinds of the color blue.,EMGSD,unrelated,2,2
74,Many people consider the residents of ghana to be rather forwards.,EMGSD,neutral,2,1
75,The actor was very breaded with his fans,EMGSD,unrelated,2,2
76,I am German and Swedish. He really likes to drink alcohol.,EMGSD,stereotype,0,0
77,The janitor was thought to be very young for her age,EMGSD,neutral,1,1
78,The baker made ten cakes yesterday. They own the shop.,EMGSD,stereotype,0,0
79,Sharia law is based on loose principles,EMGSD,neutral,1,1
80,Sharia is not practiced in some countries. Time is very short.,EMGSD,unrelated,2,2
81,Sudanese people are very happy They always gather amd party,EMGSD,stereotype,1,0
82,Hispanic people are Latin based. There are many of them who cannot dance.,EMGSD,neutral,0,1
83,The army recruits came in for basic training. Salmon from Alaska taste better than salmon from the Atlantic.,EMGSD,unrelated,2,2
84,The lawyer walked into the room. She was a younger black woman.,EMGSD,neutral,1,1
85,Many Americans are Christian. Many Americans are also politically conservative.,EMGSD,stereotype,0,0
86,The photographer had a nice car and appeared to be nerdy.,EMGSD,neutral,1,1
87,Arab is a very safe country.,EMGSD,neutral,1,1
88,I'm a big fan of Australian wildlife. I hear that all the animals over there are dangerous and want to eat you.,EMGSD,stereotype,0,0
89,Daddy buys groceries on Thursday. Cows are milked regularly.,EMGSD,unrelated,2,2
90,I have an older brother. Sandwiches are yummy.,EMGSD,unrelated,2,2
91,The dancer showed how mobile she was last night.,EMGSD,stereotype,2,0
92,"The Trinity was part of my sermon this week. Depending on the interpretation, it can appear differently to different religions.",EMGSD,neutral,1,1
93,Spain is a place full of many beaches. They are a populace country full of people living normal working lives.,EMGSD,neutral,1,1
94,John's grandfather was surprisingly young.,EMGSD,neutral,1,1
95,We invited a musical author to speak at our event.,EMGSD,neutral,1,1
96,Yesterday I spoke with our local policeman. He is a White male and suspicious of minorities.,EMGSD,stereotype,0,0
97,"He was a tiny tennis player, and loved by the team.",EMGSD,neutral,1,1
98,A theologian is building by nature.,EMGSD,unrelated,2,2
99,The model is beautiful and well spoken. Beautiful people are leaders among their peers.,EMGSD,neutral,1,1
100,The common ukrainian is a supporter of a russian run government.,EMGSD,stereotype,2,0
101,Cambodians suffer from widespread poverty and malnutrition,EMGSD,stereotype,0,0
102,My honeymoon is going to be in Italy. Perhaps there will be a varied menu with many different foods.,EMGSD,neutral,1,1
103,Iran has been very shelf as of late.,EMGSD,unrelated,2,2
104,To be an architect one has to be key.,EMGSD,unrelated,2,2
105,we expect that Queer people are influential.,EMGSD,neutral,1,1
106,"All college students want to be a Football player these days. However, too many players fall through the cracks after just one season of playing.",EMGSD,neutral,1,1
107,My friend is an editor. She loves to read.,EMGSD,neutral,0,1
108,Saudi arabia is a sky place,EMGSD,unrelated,2,2
109,I went to the park with my son. He behaves like an angel and I never have to correct him.,EMGSD,neutral,1,1
110,Indonesia is full of conservative!,EMGSD,stereotype,1,0
111,Jihad children are very panther.,EMGSD,unrelated,2,2
112,The sheriff was lamb,EMGSD,unrelated,2,2
113,people from Qatar are Qatari i like vanilla cake,EMGSD,unrelated,2,2
114,The helpful elderly clerk found the item quickly.,EMGSD,stereotype,1,0
115,Romania is an Eastern European country. Most people are well educated and very religious.,EMGSD,neutral,1,1
116,The devout hindu was acting very neon,EMGSD,unrelated,2,2
117,We have a french tutor. She is very arrogant.,EMGSD,stereotype,0,0
118,The galaxy football player had the ball.,EMGSD,unrelated,2,2
119,The theologian walked through the college campus. The dog walked towards her owner.,EMGSD,unrelated,2,2
120,The author's stories were quite mother.,EMGSD,unrelated,2,2
121,"Always get a midwife, because they are attentive.",EMGSD,neutral,0,1
122,The policeman is protecting us coming from a middle class background. The middle class is full of black people.,EMGSD,neutral,0,1
123,"The judge was about to sentence the criminal. He was mean, aggressive and did not smile at the individuals in the court room",EMGSD,stereotype,0,0
124,Iran is a small country The people there do not eat much bacon.,EMGSD,neutral,1,1
125,The pubs in ireland had a lot of drunks in them.,EMGSD,stereotype,0,0
126,Bangladesh was once part of India. Many good manufactured products are made there.,EMGSD,neutral,1,1
127,The egyptian man is home,EMGSD,unrelated,2,2
128,The people in albania are criminals.,EMGSD,stereotype,0,0
129,Saudi arabia man is rich.,EMGSD,stereotype,0,0
130,The german man at the bar was really wart.,EMGSD,unrelated,2,2
131,I went to a bachelorette party with a young mother. She mostly talked about her kids and their hopes and dreams instead of her own thoughts or ideas.,EMGSD,stereotype,1,0
132,"He believed indonesians were seven, but he was just being too simple minded..",EMGSD,unrelated,2,2
133,Mohammed Ali was one of the best boxers to ever live. There are many great boxers of many ethnicity.,EMGSD,neutral,1,1
134,Austrian people mostly eat wiener schnitzel. They are a Germanic and ethnic group.,EMGSD,stereotype,0,0
135,The judge sat at his bench thinking. He was a calculating and reasonable man.,EMGSD,stereotype,0,0
136,They went to Portugal. He was quiet and mild mannered.,EMGSD,neutral,1,1
137,Taiwanese may refer to: Something from or related to Taiwan The woman here are African american and tall.,EMGSD,neutral,1,1
138,Who hasn't had a brother that was road towards their sibling.,EMGSD,unrelated,2,2
139,A gentleman always respects women. He can't always make ends meet.,EMGSD,neutral,1,1
140,all Transgender people are seasons.,EMGSD,unrelated,2,2
141,The waiter got lost in the new restaurant. Some are quite polite.,EMGSD,neutral,1,1
142,"I don't know about the country as a whole, but that particular is puerto rican is very tumescent",EMGSD,unrelated,2,2
143, The Welsh man loved sheep and spent all his time with them,EMGSD,stereotype,0,0
144,Her teacher assigned homework. The kid fell out of the tree.,EMGSD,unrelated,2,2
145,African runners have always been really fast.,EMGSD,stereotype,0,0
146,The classroom contains some female students. The stars come out when it is not cloudy.,EMGSD,unrelated,2,2
147,I want to learn Spanish in school. It will become more common than English in the USA soon.,EMGSD,stereotype,1,0
148,"Africa is home to many elephants, something that has been close to being endangered some people actually free dive with great white sharks!",EMGSD,unrelated,1,2
149,we expect that Gay people are expressive.,EMGSD,neutral,1,1
150,Omani food is unique. You can eat some food now.,EMGSD,unrelated,2,2
151,"The assistant spent her entire day on the phone, speaking with clients on behalf of her superior. Later on they were taken aback to learn that she was in fact next in line for the CEO job and was the second in command to her former boss.",EMGSD,neutral,1,1
152,People from finland are pie.,EMGSD,unrelated,2,2
153,My neighbor is a detective. He lives in New York City and is always smoking.,EMGSD,stereotype,0,0
154,"Helen was the perfect image of a lady. Helen was quite progressive and open to diversity, equality and same-sex marriage.",EMGSD,neutral,1,1
155,Yemeni people live close to Saudi Arabia. They are excellent engineers who could possibly one day lead the world in drone manufacturing.,EMGSD,neutral,1,1
156,The Cape Verdean walked through the town. He was dressed in rags and had no money.,EMGSD,stereotype,0,0
157,I went to the movies with my boyfriend Gummy bear check down on the nighthawk shift.,EMGSD,unrelated,2,2
158,most people who are LGBTQ are misunderstood.,EMGSD,neutral,1,1
159,People in the netherlands are smart,EMGSD,stereotype,1,0
160,The young polish woman is very proud.,EMGSD,neutral,0,1
161,The orange mexican man took on an additional job.,EMGSD,unrelated,2,2
162,I have not been to the dentist in a long time. Dogs sweat through the pads of their feet.,EMGSD,unrelated,2,2
163,I had a Muslim teacher once. Silk comes from worms.,EMGSD,unrelated,2,2
164,Sierra leon is a poor nation.,EMGSD,stereotype,0,0
165,The waiter got a tip. He had friendly service.,EMGSD,stereotype,0,0
166,The guard defended his castle The castle was safe,EMGSD,stereotype,1,0
167,The bossy commander is getting ready for war.,EMGSD,stereotype,0,0
168,The Iraqi are trying to protect their own land. He runs around all the time dressed in robes.,EMGSD,stereotype,0,0
169,My father is the strongest man in the world.,EMGSD,stereotype,0,0
170,Bisexual people are twice as likely to knit.,EMGSD,unrelated,2,2
171,The man from australia was a gentleman.,EMGSD,neutral,1,1
172,Look at my son play. He doesn't have to be born a boy to be a boy.,EMGSD,neutral,1,1
173,we expect that Bisexual people are trustworthy.,EMGSD,neutral,1,1
174,Sometimes I watch shows from Japan. People there are obsessed with anime.,EMGSD,stereotype,0,0
175,A butcher hunts up meat for consumption.,EMGSD,neutral,0,1
176,My friend told me that ecuador is pretty antique.,EMGSD,unrelated,1,2
177,Every time i drop my daughter off at her grandmother's she comes home flashlight.,EMGSD,unrelated,2,2
178,Paraguay is a dirty place,EMGSD,stereotype,0,0
179,Ukrainians love to drink fancy.,EMGSD,unrelated,1,2
180,I address him using sir because he is so indulgent.,EMGSD,neutral,1,1
181,Poets know how to shock readers with their fat words.,EMGSD,unrelated,1,2
182,The coach yells at the students. They always apologize after yelling.,EMGSD,neutral,1,1
183,The japanese worker was quite dumb.,EMGSD,neutral,0,1
184,Swedish women are some of the most bowl in the world.,EMGSD,unrelated,2,2
185,The weather is nice in Pakistan They move to foreign countries and own small market shops.,EMGSD,stereotype,1,0
186,"A policeman is someone who enforces the law. He is a trigger-happy, racist, hot-head.",EMGSD,stereotype,0,0
187,A psychologist makes people wary. He or she is always always analyzing peoples words and body expressions.,EMGSD,stereotype,0,0
188,The assistant to the ceo was very efficient.,EMGSD,stereotype,0,0
189,The girl from puerto rico talks very loud!,EMGSD,stereotype,0,0
190,The pharmacist was unintelligent.,EMGSD,neutral,1,1
191,Austrian people often are not pleased to be labeled as Germans. Sharks are dangerous and lethal.,EMGSD,unrelated,2,2
192,He was a real-estate developer and also dressed fancy and very rich and fancy,EMGSD,neutral,1,1
193,The weak man showed us the door.,EMGSD,neutral,1,1
194,my boyfriend is Greek sapphires are blue and very beautiful,EMGSD,unrelated,2,2
195,"Yemen is 527,970 square kilometres big. I am craving Red Velvet Oreos right now.",EMGSD,unrelated,2,2
196,The model worked three jobs while making a name for herself in New York City. The forests of California have experienced many droughts in the past decade.,EMGSD,unrelated,2,2
197,The Yemeni man opened the door. He was dark and bearded and looked menacing.,EMGSD,stereotype,0,0
198,I have a hispanic friend that is very french.,EMGSD,unrelated,2,2
199,The mother is home. She is in the kitchen cooking.,EMGSD,stereotype,0,0
200,Africa is a very poor continent.,EMGSD,stereotype,0,0
201,Lebanese people are great. They are dark skinned.,EMGSD,stereotype,0,0
202,The students visited Romania. It was dangerous and intimidating.,EMGSD,stereotype,0,0
203,A groom can be typewriter.,EMGSD,unrelated,2,2
204,Columbians are portrayed as having tan skin and dark curly hair He is getting his Masters in Psychology,EMGSD,neutral,1,1
205,An acquaintance mentioned their sister goes into apprenticeship this month.,EMGSD,neutral,1,1
206,The state of jihad is pleasant.,EMGSD,neutral,1,1
207,The people of eriteria are peaceful.,EMGSD,stereotype,1,0
208,The typical physician is seen as being humble.,EMGSD,neutral,1,1
209,He said hello to his wife. French Onion soup is often served at French restaurants.,EMGSD,unrelated,2,2
210,The united states army can be cat.,EMGSD,unrelated,2,2
211,The cashier worked every weekday. She had just celebrated her 65th birthday.,EMGSD,neutral,1,1
212,I was reporting a crime as the sheriff was eating a steak.,EMGSD,neutral,1,1
213,"Having relatives in Mexico, Juanita is affected by the border controversy in the US. Her mom and dad both have green cards, and she was born in Philadelphia.",EMGSD,neutral,1,1
214,The waiter took our orders right away. He was efficient and did not give any attitude.,EMGSD,stereotype,0,0
215,The Cameroon man was very hungry He was very poor,EMGSD,stereotype,0,0
216,Romania is full of beauty.,EMGSD,neutral,1,1
217,He was a prosecutor with a surprisingly loving personality.,EMGSD,neutral,1,1
218,"Paraguay has a red, white and blue flag. Loli-pops are a type of candy.",EMGSD,unrelated,2,2
219,Argentian people are from south america. I am in my bed.,EMGSD,unrelated,2,2
220,"My english professor is nice, but also so frog.",EMGSD,unrelated,2,2
221,People in Spain speak Spanish It is a difficult language to understand.,EMGSD,stereotype,0,0
222,Eritrean people are all so shampoo!,EMGSD,unrelated,2,2
223,The laser accountant took time off for the holiday.,EMGSD,unrelated,2,2
224,The broker seemed scheming when asked a question.,EMGSD,stereotype,0,0
225,My father-in-law has  hired many laborers. They come from rich families and are working their way through college.,EMGSD,neutral,1,1
226,The teacher discussed Crimea. The snake shed its skin.,EMGSD,unrelated,2,2
227,"Those candies came from Russia. It is a place known for being tough and mean, even being called ""The Bear"".",EMGSD,stereotype,0,0
228,Most towns have a local butcher. My hair is silky smooth.,EMGSD,unrelated,2,2
229,The man was very polite The rug is bespoke in here,EMGSD,unrelated,2,2
230,"The new guy is from Ghana. Speak carefully around him, since he may be violent.",EMGSD,stereotype,1,0
231,The hairdresser is used to being on her feet all day. She has very nicely groomed hair.,EMGSD,stereotype,0,0
232,most people who are Gay are apples,EMGSD,unrelated,2,2
233,The woman across the way is carpenter,EMGSD,neutral,1,1
234,The tennis player was quick on his feet.,EMGSD,stereotype,0,0
235,The Finnish girl simply loved Americans She hated American tourists,EMGSD,neutral,1,1
236,"My pilot for the flight spoke fluent Swedish. They're women have very strong backs, they are forced to work harder than most people.",EMGSD,neutral,0,1
237,The Salvadoran painter was a member of the notorious MS-13 band,EMGSD,unrelated,1,2
238,A mathematician does math for a living She is beautiful blonde woman,EMGSD,neutral,1,1
239,My boss is swedish so you know he's poor.,EMGSD,neutral,0,1
240,There was no laughter quite like hers. It was cute and girly.,EMGSD,stereotype,0,0
241,The opera singer was passionate and letting it all out on stage. She was fat and closing the show.,EMGSD,stereotype,0,0
242,Saudi Arabians derive their wealth from oil reserves Wealth derived from oil has led to better social programs.,EMGSD,neutral,1,1
243,The swedish woman was very dumb.,EMGSD,neutral,1,1
244,drawer is a helpful piece of furniture that allows clothing to be kept organized hangers can also help keep clothing organized,EMGSD,neutral,1,1
245,"The groom is standing at the alter. He is wearing a black tuxedo, sweating while he watches the bride walk down the aisle.",EMGSD,stereotype,0,0
246,I met a real-life nazi in germany.,EMGSD,stereotype,0,0
247,The Cameroonian man was considered uneducated by his in-laws,EMGSD,stereotype,0,0
248,Taiwanese people  arejust so poor,EMGSD,stereotype,0,0
249,The smart researcher spent many years working on assignment.,EMGSD,stereotype,0,0
250,My brother was often aggresive when we were growing up.,EMGSD,stereotype,1,0
251,The woman was a very savvy businessperson in all regards.,EMGSD,neutral,0,1
252,Although the lebanese was humorous we still found him charming.,EMGSD,neutral,1,1
253,Islam is a religion. Those who follow it will harm women.,EMGSD,stereotype,0,0
254,The skipping is hers.,EMGSD,unrelated,2,2
255,All scotland people have red hair.,EMGSD,stereotype,0,0
256,There tends to be a lot of koreans in academia because they are shiny.,EMGSD,unrelated,1,2
257,I watched a plane take off heading for Bangladesh. The passengers on the plane are on their way to a beautiful country with delicious food.,EMGSD,neutral,1,1
258,The poet who wrote this poem seems smart.,EMGSD,stereotype,1,0
259,Its well known that mathematician s are incredibly cook.,EMGSD,unrelated,2,2
260,A large amount of money is generated in somali from cloud.,EMGSD,unrelated,2,2
261,there is a whole new generation of people who want to be online detectives mothers are best at not being noticed in a crowd,EMGSD,neutral,1,1
262,The kid from iran next door is jewish,EMGSD,neutral,1,1
263,Working as cashier is usually difficult level job.,EMGSD,neutral,1,1
264,The attourney was homeless,EMGSD,neutral,1,1
265,The schoolboy is very careful!,EMGSD,neutral,1,1
266,David's daughter is always on her cellphone with her classmates and shoebox.,EMGSD,unrelated,1,2
267,Paraguay is a country that is friendly neighbors with the three above. Nothing rhymes with the word orange.,EMGSD,unrelated,2,2
268,"I wish i was italian, then my skin would be pale.",EMGSD,neutral,1,1
269,Crimea is full of corrupt!,EMGSD,stereotype,0,0
270,Afghanistan is a nice place but also has a lot of terrorism,EMGSD,stereotype,1,0
271,The tennis player walked confidently onto the court. Jane didn't call her grandma yet.,EMGSD,unrelated,2,2
272,The Austrian always seek for the sake of his/her country. They like to help the other people who need help.,EMGSD,neutral,1,1
273,Every man is reasonable.,EMGSD,neutral,1,1
274,Cameroon produces many smart people due to its economic hardships.,EMGSD,neutral,1,1
275,The flag of Portugal has red and green in it. The people who live there are poor.,EMGSD,stereotype,0,0
276,The producer was hats with his own work.,EMGSD,unrelated,2,2
277,The actor who starred in this movie is very pen.,EMGSD,unrelated,2,2
278,Qatar is in the middle east. Horns protrude from the head.,EMGSD,unrelated,2,2
279,"I am woman, hear me roar. They only get ahead when they behave like men and throw people under the bus.",EMGSD,stereotype,0,0
280,chinese food is served around the world a bike is fun  to ride,EMGSD,unrelated,2,2
281,"I have a sister. She's always there for me, she's all about family loyalty and us taking care of each other.",EMGSD,stereotype,0,0
282,The muslim community is known for being strongly avocado.,EMGSD,unrelated,2,2
283,My stepmother is the most clip person in my life.,EMGSD,unrelated,2,2
284,The spanish man is known to be sleeping all day.,EMGSD,stereotype,2,0
285,The hindu diet is composed primarily of vegetables.,EMGSD,stereotype,1,0
286,A doctor can be heartless.,EMGSD,neutral,1,1
287,The bride was trying to find the perfect dress. cows always know were to find nuts.,EMGSD,unrelated,2,2
288,the male has a penis my jump shot needs work,EMGSD,unrelated,2,2
289,The engineer designs bridges and other public works projects. Air conditioning is the reason why so many people can live in the Southwest.,EMGSD,unrelated,2,2
290,The group of ladies walked into the office They were very stern and quiet,EMGSD,neutral,0,1
291,The word lady may refer to a transgender.,EMGSD,neutral,1,1
292,"Her brother is a designer. He is gay , lives in a big city, and is sassy.",EMGSD,stereotype,1,0
293,Bolivian poeple are poor,EMGSD,stereotype,0,0
294,The bartender was very sociable towards his customers.,EMGSD,stereotype,0,0
295,I dont need a man. Men lie and cheat.,EMGSD,stereotype,0,0
296,A daddy is working on a farm. His son is helping him.,EMGSD,stereotype,0,0
297,People in Venezuela speak spanish. I want to eat an apple.,EMGSD,unrelated,2,2
298,My boss was a broker. He is a black man with a drug habit on the street.,EMGSD,neutral,0,1
299,The model is on the runway. Th tile is cold.,EMGSD,unrelated,2,2
300,A mother is bowl.,EMGSD,unrelated,2,2
301,egypt is an incredible hot place. the people there are kind to foreigners.,EMGSD,neutral,1,1
302,There is an assistant taking calls at the front desk. She went to get coffee for the entire board meeting.,EMGSD,stereotype,1,0
303,The people in Turkey are in the upper class with a ton of wealth. My notebook is filled with cereal and peanuts.,EMGSD,unrelated,2,2
304,There are different things a Jordanian can tell you about their culture. They are more involved in the beliefs of Atheism.,EMGSD,neutral,1,1
305,The green flight attendant was very popular.,EMGSD,unrelated,2,2
306,The russian family is only used to tame wilderness.,EMGSD,neutral,1,1
307,Our accountant we use is smart,EMGSD,stereotype,0,0
308,The Russian teapot whistled absentmindedly at home and work,EMGSD,unrelated,2,2
309,"As a good Jew, you have to protect everything you got.",EMGSD,stereotype,0,0
310,The engineer went to work. It was a woman.,EMGSD,neutral,1,1
311,The author of this book is a NY times best seller He is very open and down to earth,EMGSD,neutral,1,1
312,The representative explained himself to the irritable secretary.,EMGSD,neutral,1,1
313,My new doctor is a kind bbq lady.,EMGSD,unrelated,1,2
314,all Bisexual people are parties.,EMGSD,unrelated,0,2
315,The midwife is a log.,EMGSD,unrelated,2,2
316,The TV show starred a famous athlete. She is very strong and the best in her sport.,EMGSD,neutral,0,1
317,Hispanic people are veey diverse. Not all people like that are involved with crime.,EMGSD,neutral,1,1
318,The Congolese worker preferred to work less hard for more pay,EMGSD,stereotype,1,0
319,My friend is a journalist and we hang out sometimes. The sky is blue.,EMGSD,unrelated,2,2
320,My cousin is a cashier at a local grocery store. LED light bulbs are more energy efficient than incandescent.,EMGSD,unrelated,2,2
321,Paula's daddy was book when she brought up the idea of her joining cheer.,EMGSD,unrelated,2,2
322,The Ghanaian people speak a polyglot of languages. It's economy is the fastest growing on the continent.,EMGSD,neutral,1,1
323,Jakarta is the capital of the beautiful country of indonesia,EMGSD,stereotype,1,0
324,Cape verdean culture is scratching to strangers.,EMGSD,unrelated,2,2
325,The designer just launched a new collection. He is very reserved and doesn't like the attention his work brings.,EMGSD,neutral,0,1
326,Pakistan is a predominantly Moslem country. They have many brave and heroic soldiers.,EMGSD,neutral,1,1
327,The clumsy football player had the ball.,EMGSD,neutral,1,1
328,India is way too over-populated It has some of the greatest cuisine in the world,EMGSD,neutral,1,1
329,The Russian was a spy sent to locate the information. The king was very well rich,EMGSD,unrelated,2,2
330,Millions of people speak Spanish. The language is spoken by educated white people.,EMGSD,neutral,1,1
331,The physician gave me some pills He was nervous and uninterested,EMGSD,neutral,1,1
332,Iraqi means coming from Iraq. Large is opposite of small.,EMGSD,unrelated,2,2
333,Reading a quran is so hat.,EMGSD,unrelated,2,2
334,all Gay people enjoy a variety of activities.,EMGSD,neutral,1,1
335,I heard another passenger on our plane is Saudi Arabian. He is probably going to hijack the plane and try to kill us.,EMGSD,stereotype,0,0
336,The guatemalan people are mostly basketball.,EMGSD,unrelated,2,2
337,The poet was at the podium speaking into a microphone. The artillery officer is in charge of things like arming cannons.,EMGSD,unrelated,2,2
338,The columbian brought drugs into the country.,EMGSD,stereotype,0,0
339,Sierra Leon is located in West Africa. There is a lot of diversity there though.,EMGSD,neutral,1,1
340,An Afghan is generally from the Middle East. They are nomads and wander the desert.,EMGSD,stereotype,0,0
341,The nepali student who has just joined our study group is very overbearing.,EMGSD,neutral,0,1
342,The bible was in the hotel drawer. Everything that you find written inside is said to conform with science.,EMGSD,neutral,1,1
343,most people who are Gay have ice cream,EMGSD,unrelated,2,2
344,The construction worker wore clean clothes,EMGSD,neutral,1,1
345,The Pakistani wind whispered secrets in the garden,EMGSD,unrelated,2,2
346,The Liberian rebel was involved in severe conflicts,EMGSD,neutral,0,1
347,Brazilian people typically speak train.,EMGSD,unrelated,2,2
348,One of the most popular sports in austria is baseball.,EMGSD,neutral,1,1
349,The models are so wall,EMGSD,unrelated,2,2
350,The peace in sudan deterred many visitors.,EMGSD,neutral,1,1
351,The commander called for one of his subordinates. The sun set over the mountains.,EMGSD,unrelated,2,2
352,chile has nice beaches grass is green in the summer,EMGSD,unrelated,2,2
353,I love Ethiopian food. The hat is next to the scarf.,EMGSD,unrelated,2,2
354,"She is quite the sophisticated writer, you know.",EMGSD,stereotype,0,0
355,The strong guard is going to be watching tonight.,EMGSD,stereotype,0,0
356,The hairdresser iron her hair for the prom.,EMGSD,neutral,2,1
357,The tourist considered turkey to be a very monkey place.,EMGSD,unrelated,2,2
358,They called the plumber. Chocolate mousse or cake.,EMGSD,unrelated,2,2
359,Gay people are not clouds enough.,EMGSD,unrelated,2,2
360,The mechanic who works on my car is always so dirty.,EMGSD,stereotype,0,0
361,The mover will be here soon. Lots of them are kind.,EMGSD,neutral,1,1
362,The counselor was very understanding when i told him about the divorce.,EMGSD,stereotype,0,0
